Total CPU Power,codeCarbon_time_log_20250321_125209.txt,Sem rodar nada
Total CPU Power :,21.447464323102814,12.555473026458206
Total CPU Power :,24.352561596807067,11.740212145411876
Total CPU Power :,23.661927350729407,11.375242093986786
Total CPU Power :,24.04991940013577,11.706032002830142
Total CPU Power :,25.135532221536238,11.75739500790907
Total CPU Power :,15.203220618623835,11.381979563263794
Total CPU Power :,13.429511428993502,11.541102285649226
Total CPU Power :,13.780814719006889,11.695633812197356
Total CPU Power :,13.746215532301983,11.743399936558728
Total CPU Power :,13.313005191655643,12.021870545273726
Total CPU Power :,13.027592261319088,11.723108962139072
Total CPU Power :,12.951576430701216,11.951900663296422
Total CPU Power :,12.925692264410769,11.935300743397951
Total CPU Power :,13.132957761247878,11.898478241137951
Total CPU Power :,12.938060842259622,11.789475763140127
Total CPU Power :,13.036294546808138,11.944357738231913
Total CPU Power :,14.224600384641754,11.765549342892557
Total CPU Power :,13.311632248144518,11.77341905691364
Total CPU Power :,13.507849766987881,11.688202456224655
Total CPU Power :,12.886867749746827,11.5367557580236
Total CPU Power :,12.97615558438102,11.456982381671164
Total CPU Power :,12.869058049613647,11.731397652472314
Total CPU Power :,12.736861683301644,11.700389894958393
Total CPU Power :,12.752189068309644,11.417405410979352
Total CPU Power :,12.785917826981988,11.078638341330528
Total CPU Power :,12.734380924999787,11.451723956822212
Total CPU Power :,13.281904159844686,11.410452214972532
Total CPU Power :,12.764161438817998,11.658274583214709
Total CPU Power :,12.867783969874203,11.437826669824338
Total CPU Power :,12.98949189163689,11.45420234042623
Total CPU Power :,13.04015158189244,12.022020378292822
Total CPU Power :,12.877289327386386,11.782924071153765
Total CPU Power :,12.762659565113172,11.75997335076522
Total CPU Power :,16.65601525905299,11.420614811333087
Total CPU Power :,14.919488221675955,11.057784040009336
Total CPU Power :,16.29822868276432,12.013357573484418
