Total CPU Power,login.gsheet,Sem rodar nada
Total CPU Power :,21.54943945871402,12.735603738313424
Total CPU Power :,24.306950878008408,12.009333594761625
Total CPU Power :,23.45521379874418,12.082001897987483
Total CPU Power :,23.96554211625429,12.015051646927468
Total CPU Power :,25.030715839263653,11.828382342584337
Total CPU Power :,21.657017529830604,12.043863540718704
Total CPU Power :,25.273594535049487,12.014844055492151
Total CPU Power :,24.017631345998623,12.011597659928006
Total CPU Power :,25.212537820195646,12.04199503408265
Total CPU Power :,22.65937749884287,12.005312674725287
Total CPU Power :,22.77110853339352,11.877104587992408
Total CPU Power :,25.166381539789136,12.094855665209042
Total CPU Power :,24.308279574126054,11.857884514623267
Total CPU Power :,25.14144584483644,11.471426900923484
Total CPU Power :,22.058560622509415,11.936765061681108
Total CPU Power :,23.52421775445422,11.712204603741874
Total CPU Power :,24.77001569737209,11.864996171168167
Total CPU Power :,24.544668084697562,12.044627469074634
Total CPU Power :,25.074075389119614,11.827498228913347
Total CPU Power :,21.7325728746967,11.79418889118389
Total CPU Power :,24.056280705078127,12.03142763264862
Total CPU Power :,23.552993568469677,11.831212719266702
Total CPU Power :,25.214931187365867,11.937403335274231
Total CPU Power :,25.293694200319198,11.876201394217146
Total CPU Power :,21.620565220017166,11.540510547672435
Total CPU Power :,24.38774009386576,11.547883284967241
Total CPU Power :,23.107985435630333,11.753285573851343
Total CPU Power :,25.209640571048237,11.925408842030238
Total CPU Power :,24.74320269453349,11.702630054024942
Total CPU Power :,22.234134876190762,11.90985641015318
Total CPU Power :,24.896202368088137,11.581156582262373
Total CPU Power :,23.927411471116724,11.867160017986082
Total CPU Power :,25.05102479375396,11.437631964534612
Total CPU Power :,22.256741687274925,11.539027000344904
Total CPU Power :,23.51779333829645,11.717326988760872
Total CPU Power :,25.080434882550865,11.386938539366954
Total CPU Power :,24.29398880192077,11.56071547018444
Total CPU Power :,25.094370122944042,11.696724494621394
Total CPU Power :,21.830789463632385,11.903103147907846
Total CPU Power :,23.764648146379,11.530306769426272
Total CPU Power :,24.440752684922472,11.571585360225555
Total CPU Power :,24.73788144841099,11.752010355717232
Total CPU Power :,25.015744231359598,11.408987271476496
Total CPU Power :,22.287076847515102,11.691013237955898
Total CPU Power :,23.96203836617485,11.585430391065906
Total CPU Power :,23.39260632342953,11.716450607053213
Total CPU Power :,25.140917137529673,11.892976320369566
Total CPU Power :,25.58914306727554,11.765755280020556
Total CPU Power :,21.37181194440231,11.30581968100579
