Total CPU Power,loginCreateAndUpdateArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.31746620431054,12.657974748912213
Total CPU Power :,24.209742240772016,12.116481743523252
Total CPU Power :,22.414800572423474,12.009667809962295
Total CPU Power :,24.15921140528828,12.02112848578207
Total CPU Power :,25.138827375384437,12.019056387466785
Total CPU Power :,19.127496111373482,11.853210044504053
Total CPU Power :,14.682446412719608,12.084393824995793
Total CPU Power :,14.830493537568708,11.842714919074194
Total CPU Power :,15.843847718531146,12.035728476330792
Total CPU Power :,16.03769336106093,11.875416019171967
Total CPU Power :,19.285802133122186,11.99151435877793
Total CPU Power :,23.522107068251323,11.848112690873604
Total CPU Power :,23.754005116564425,12.037641169346095
Total CPU Power :,24.907178082319113,12.035218837818533
Total CPU Power :,24.52964679134928,11.828378339241615
Total CPU Power :,21.70460242634312,12.03130390502627
Total CPU Power :,15.277192827699352,11.895368669995555
Total CPU Power :,14.869888509811126,11.769258517029598
Total CPU Power :,14.315318091460847,12.027559868543982
Total CPU Power :,16.161357055297447,11.987844479559422
Total CPU Power :,19.28435890317595,11.851430979141151
Total CPU Power :,21.773792572305634,12.027084430795695
Total CPU Power :,24.44163503328927,11.841793349670334
Total CPU Power :,24.04805195464539,11.547054561404805
Total CPU Power :,24.941948134714966,11.858926115706472
Total CPU Power :,21.05026038222306,11.712868738371789
Total CPU Power :,17.008474716794836,11.531312618412697
Total CPU Power :,14.530868347411399,11.896275970151143
Total CPU Power :,14.291051251120054,11.776490148184081
Total CPU Power :,15.446968421438601,11.55732006822468
Total CPU Power :,19.451703918592695,11.68898468952593
Total CPU Power :,19.64687069650374,11.543697659504106
Total CPU Power :,24.51710670620666,11.786402318121906
Total CPU Power :,23.321745572262458,11.901939900787209
Total CPU Power :,24.75575792133965,11.959839553559462
Total CPU Power :,22.59195150997758,11.8655924751411
Total CPU Power :,19.061542371169327,11.863468931782473
Total CPU Power :,14.894496376782927,11.877902744854637
Total CPU Power :,14.49290220917297,11.720574425858006
Total CPU Power :,14.97016013007718,11.748056717723216
Total CPU Power :,18.571131950630217,11.55752278730413
Total CPU Power :,18.67953444223106,11.89247881135756
Total CPU Power :,23.773477246825188,11.819737995893375
Total CPU Power :,22.91899256688417,11.738273517901462
Total CPU Power :,24.80343380190246,11.863249158474108
Total CPU Power :,25.283700265159343,11.526810681297938
Total CPU Power :,19.431346769532468,11.724897437514343
Total CPU Power :,15.268533472831827,11.238244853422323
Total CPU Power :,14.666494744833207,11.757947141729431
Total CPU Power :,14.716800116835525,11.894130223340733
Total CPU Power :,15.951943630826488,11.757470819241018
Total CPU Power :,19.06782974605586,11.5450820976075
Total CPU Power :,23.363711807860877,11.921231184110937
Total CPU Power :,23.79193083837979,11.725485704375107
Total CPU Power :,24.858358449636487,11.536737275435081
Total CPU Power :,24.43904219166358,11.37958144478002
Total CPU Power :,21.89530007803903,11.900495787825387
Total CPU Power :,15.219472221747514,11.725961954328758
Total CPU Power :,14.659204210919643,11.957384932515161
Total CPU Power :,14.524313313139746,11.902743158087095
Total CPU Power :,15.8975704639583,12.166804143185095
Total CPU Power :,18.602688310112754,11.914001172715874
Total CPU Power :,21.363946053459582,11.893594569118466
Total CPU Power :,24.594612056980022,11.548694767558425
Total CPU Power :,24.06947008832302,11.859628759729494
Total CPU Power :,24.961953173084233,11.925689163445126
Total CPU Power :,21.794519147582086,11.973538852668483
Total CPU Power :,17.22748593152828,12.263991676306333
Total CPU Power :,14.572930057919598,12.091041886772334
Total CPU Power :,14.520304612356849,11.874802988877972
Total CPU Power :,15.518142022938413,11.888138082759479
Total CPU Power :,19.355911569589406,11.712570651057812
Total CPU Power :,20.24175394711793,11.600687891101487
Total CPU Power :,24.623338399387595,11.290136259605788
Total CPU Power :,23.52273822027324,11.374445788367515
Total CPU Power :,24.783661074990945,12.337188839214965
Total CPU Power :,22.21748095429217,12.113345285117658
Total CPU Power :,18.91800651378337,11.915045869175895
Total CPU Power :,14.72139620615768,11.938218772614556
Total CPU Power :,14.450379112555352,11.898572246242727
Total CPU Power :,15.16341818219944,11.746792757964572
Total CPU Power :,18.761183153712516,11.617326077032635
Total CPU Power :,18.924547714129577,12.291867230979122
Total CPU Power :,23.812130283107667,11.712537428986527
Total CPU Power :,22.996375480211924,11.86885884562134
Total CPU Power :,24.9208268091707,11.926420153114265
Total CPU Power :,25.427467108014287,11.913458480343731
Total CPU Power :,19.578041187413614,11.209566274862432
Total CPU Power :,14.614391781590749,11.81612384320166
Total CPU Power :,14.444772108481871,12.11725329053483
Total CPU Power :,14.515032948768951,11.760595024196622
Total CPU Power :,15.873594671280467,11.752138804542462
Total CPU Power :,19.598589589078315,11.701176714490565
Total CPU Power :,23.46680841514857,11.536955064660406
Total CPU Power :,23.738766906660352,11.73648610444148
Total CPU Power :,24.905504578959945,11.770800888038522
Total CPU Power :,24.588093379513435,12.096502806460805
Total CPU Power :,20.751132609068158,11.775610705637387
Total CPU Power :,16.665411844180436,11.903076999440499
Total CPU Power :,14.595190834942448,11.72125193141782
Total CPU Power :,14.323636468477424,11.714953167816565
Total CPU Power :,15.965259275554716,11.241336467447523
Total CPU Power :,19.5400801494417,11.973390909926021
Total CPU Power :,19.70683286060857,11.93797519549236
