Total CPU Power,codeCarbon_time_log_20250320_190105.txt,Sem rodar nada
Total CPU Power :,21.494292205343086,12.794240838536473
Total CPU Power :,24.33317036085707,12.128507023412219
Total CPU Power :,24.249214481086355,12.16187080404744
Total CPU Power :,24.4934751381541,12.033197480897753
Total CPU Power :,22.13862936117343,12.11148759551813
Total CPU Power :,16.18922304436954,12.10792111194717
Total CPU Power :,18.594601911719725,12.094254645223923
Total CPU Power :,24.403890933833104,12.123788839937781
Total CPU Power :,24.229537795641058,12.118528963943236
Total CPU Power :,25.07765988653778,12.092706172439994
Total CPU Power :,24.051117612104928,11.930247968693775
Total CPU Power :,15.598997220557171,12.141438223743634
Total CPU Power :,22.447315715704836,11.811545386438123
Total CPU Power :,25.112679489540493,12.1032490799255
Total CPU Power :,24.526968901811095,11.839753539757215
Total CPU Power :,25.143651734069515,11.772130527225645
Total CPU Power :,20.249300243735508,11.578197407074533
Total CPU Power :,18.64329030427243,12.250652284539921
Total CPU Power :,24.42784183526712,11.973395807647377
Total CPU Power :,24.06570803385356,12.074687131297647
Total CPU Power :,25.05594773968001,11.956917101069859
Total CPU Power :,23.805047367125262,11.922275943132318
Total CPU Power :,15.504692039963725,12.125787023514755
Total CPU Power :,22.420579284039597,11.960059067006712
Total CPU Power :,25.040356444418457,11.634664493743733
Total CPU Power :,24.57456813665055,11.803216250876838
Total CPU Power :,25.092702432251837,11.472243962166655
Total CPU Power :,20.38366607523619,11.940295161057405
Total CPU Power :,18.75117469059607,11.764389256321216
Total CPU Power :,24.137674878245438,11.64925778105795
Total CPU Power :,24.230448533217437,11.929404826880482
Total CPU Power :,25.127692284280492,11.958161501200085
Total CPU Power :,23.12319985910692,12.038579190170468
Total CPU Power :,16.416234993803855,11.731598910588296
Total CPU Power :,22.10991063279859,11.78159994632311
Total CPU Power :,25.13215221990404,11.961999411647474
Total CPU Power :,24.39785184830961,11.76156791766806
Total CPU Power :,24.894195706845363,11.77255783427115
Total CPU Power :,20.428335159126267,11.97767234673249
Total CPU Power :,18.03807593552407,11.462536276160545
Total CPU Power :,24.088284334403095,11.605920175869304
Total CPU Power :,23.73552937561586,11.961500734232029
Total CPU Power :,24.880451880133425,11.828017493289408
Total CPU Power :,24.454898403400517,11.945877850211078
Total CPU Power :,15.62116952410337,11.646382503178055
Total CPU Power :,23.0307757551909,11.78973839379875
Total CPU Power :,24.789717863068276,11.93928067067938
Total CPU Power :,24.568471952333386,11.611214134060113
Total CPU Power :,24.905559512746983,11.786687649606984
Total CPU Power :,19.540407596391226,11.796906995974734
Total CPU Power :,19.43756253972694,11.672838508439398
Total CPU Power :,24.61027412303289,11.781676796494096
Total CPU Power :,24.246405915052854,11.94834298379655
Total CPU Power :,24.958307292838427,11.778225654714944
Total CPU Power :,22.546956558462266,11.777814061027644
Total CPU Power :,15.684544156110155,11.806328972379116
Total CPU Power :,22.047709863904654,13.060739493451672
