Total CPU Power,LoginCreateAndDeleteComment_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.665650185215796,12.215103231452693
Total CPU Power :,23.794276614935622,11.538968375406595
Total CPU Power :,21.38530743440055,11.90002349157493
Total CPU Power :,24.666966748137064,11.732183044060946
Total CPU Power :,25.118432499383616,11.872419140507706
Total CPU Power :,18.856599492531046,11.890502205548245
Total CPU Power :,21.391044035095945,11.711477065277183
Total CPU Power :,25.67104774820772,11.685729667549888
Total CPU Power :,24.58666159328539,11.898083668332104
Total CPU Power :,24.558466198225744,11.888143251448755
Total CPU Power :,25.39419952140832,11.856114455296439
Total CPU Power :,20.01816833769591,11.874663134258894
Total CPU Power :,22.01860933369845,11.695419434312956
Total CPU Power :,25.033812360342576,11.879416048943654
Total CPU Power :,25.261933355106333,11.934254990258168
Total CPU Power :,23.87900495732251,11.521112933326638
Total CPU Power :,25.165708120116026,11.698304843687634
Total CPU Power :,23.06271171140653,11.540804243211536
Total CPU Power :,21.07033682577496,11.74247227225931
Total CPU Power :,24.59504875161251,11.545016362748008
Total CPU Power :,24.94182797118268,11.714538302250123
Total CPU Power :,23.824936631308077,11.863102420680466
Total CPU Power :,25.242746945973884,12.146245003997869
Total CPU Power :,24.687144664729544,12.054348724833604
Total CPU Power :,19.807767124902394,11.48000680178076
Total CPU Power :,24.37373639973974,11.654130189854246
Total CPU Power :,24.763509390658875,11.791675997045155
Total CPU Power :,23.49188318925542,11.641871913145662
Total CPU Power :,25.689061826994656,11.618969070631186
Total CPU Power :,24.69755752981725,11.651670916907056
Total CPU Power :,20.621340595031782,11.787412863513037
Total CPU Power :,24.028517949814262,11.648572602008489
Total CPU Power :,24.157822134326622,11.654782002591546
Total CPU Power :,23.61374108937662,11.624469600560493
Total CPU Power :,25.431242959768124,11.481149817736224
Total CPU Power :,25.848780410192553,11.792146755015565
Total CPU Power :,15.449148398158103,11.619230949693558
Total CPU Power :,22.438270629770955,11.61689720765839
Total CPU Power :,24.75029918195459,11.628442478995977
Total CPU Power :,25.212492194748307,11.613719369022018
Total CPU Power :,24.17660710370838,11.452305908832919
Total CPU Power :,25.31296370161194,11.782298709828796
Total CPU Power :,22.43247696195136,11.606551889681427
Total CPU Power :,21.411084301985696,11.787704745253409
Total CPU Power :,24.481112129638273,11.451436871816876
Total CPU Power :,25.17179097244034,11.616085893720667
Total CPU Power :,23.833144430340937,11.299132412635815
Total CPU Power :,25.20351229135348,11.650089186797791
Total CPU Power :,23.336778883679017,11.639216734974452
Total CPU Power :,20.759366575176195,11.831692246596743
Total CPU Power :,24.60866709584164,11.312853976412336
Total CPU Power :,24.801725628272553,11.271275829214204
Total CPU Power :,23.203262633097758,11.824424053989341
Total CPU Power :,24.961691009966444,11.443337064004767
Total CPU Power :,24.33184541235118,11.618790975767698
Total CPU Power :,19.81771218524216,11.451834739494672
Total CPU Power :,24.372164077912466,11.62515044602194
Total CPU Power :,24.488147154396312,11.613871363884709
Total CPU Power :,23.177701265981096,11.618929958447763
Total CPU Power :,25.327162767007657,11.26464668934332
Total CPU Power :,25.612166182287172,11.6157182068696
Total CPU Power :,20.317150132480414,11.782551068651648
Total CPU Power :,24.334644942251014,11.697106455168012
Total CPU Power :,,12.19858629314667
