Total CPU Power,LoginInvalidPassword_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.107576627714895,12.71823525531669
Total CPU Power :,25.325939002188566,11.704765166347636
Total CPU Power :,22.64839316066139,11.277177772964613
Total CPU Power :,24.01089277253535,11.98320609908964
Total CPU Power :,25.88673155404371,11.835289840004481
Total CPU Power :,20.565102377962674,11.48308066261155
Total CPU Power :,24.715988965824472,11.443542271842983
Total CPU Power :,23.385991021857624,11.832233262789673
Total CPU Power :,24.549671712932096,11.616929407165186
Total CPU Power :,24.371554837381563,11.985318189808979
Total CPU Power :,21.836464771336438,11.81437864890644
Total CPU Power :,24.424559273405503,11.959795826965859
Total CPU Power :,24.088046009032574,11.97161955215785
Total CPU Power :,24.7528156519795,12.853914809755384
Total CPU Power :,22.277990393731557,11.667184868249654
Total CPU Power :,23.521256400075746,11.838373917703729
Total CPU Power :,23.409426214991615,11.884893288668612
Total CPU Power :,24.76253367282743,11.697018834013472
Total CPU Power :,25.011037708603425,11.702434102989317
Total CPU Power :,21.783404854532357,11.545818190155464
Total CPU Power :,24.341521047588948,11.658573573702478
Total CPU Power :,22.74462963308909,11.305793963571015
Total CPU Power :,24.589854314524615,11.833992894052205
Total CPU Power :,25.443943312128994,11.616607116380244
Total CPU Power :,21.2623206571619,11.603656952617921
Total CPU Power :,24.900412554794713,11.083267774067037
Total CPU Power :,23.870405846876636,11.444807988144607
Total CPU Power :,24.61089323504136,11.623213876683554
Total CPU Power :,22.26505428861772,11.599197750259965
Total CPU Power :,23.247150872954087,11.625021533849457
Total CPU Power :,23.56266377959943,11.247405140060556
Total CPU Power :,24.744073801826403,10.95166957090953
Total CPU Power :,24.3967429750047,11.627032258124178
Total CPU Power :,22.53771784055233,11.786012677163505
Total CPU Power :,23.967591438813724,11.596657340888436
Total CPU Power :,22.980692821938398,11.76003473825131
Total CPU Power :,24.6572032024273,11.779989843312741
Total CPU Power :,25.400742483873813,11.77866382508601
Total CPU Power :,21.339432769381204,11.589619761790052
Total CPU Power :,24.67236924640003,11.789522582201261
Total CPU Power :,23.752813025072083,11.772086859329404
Total CPU Power :,24.81484685768797,11.42290485199756
Total CPU Power :,22.86152884334247,11.763271175831749
Total CPU Power :,22.528742039666632,11.770545210101506
Total CPU Power :,24.306888105803004,11.410787151628947
Total CPU Power :,24.342064075231875,11.42060011850298
Total CPU Power :,24.887841219069546,11.590128021337671
Total CPU Power :,22.330460203862764,11.46702698966936
