Total CPU Power,creatAndDeleteArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.064137540150544,12.459999979942033
Total CPU Power :,23.95930009877884,11.699463802893142
Total CPU Power :,22.58108397954467,11.707679758658943
Total CPU Power :,24.92433400150139,11.728422427632413
Total CPU Power :,25.871281124114024,11.668101120244671
Total CPU Power :,18.336538133421858,11.872048222457762
Total CPU Power :,14.911554448613673,11.781432489852673
Total CPU Power :,14.785553844082472,11.540859989022671
Total CPU Power :,15.575431767449953,11.751882477597432
Total CPU Power :,21.16397987452553,11.912753499766525
Total CPU Power :,24.06668306914657,11.86160475604519
Total CPU Power :,22.89367751898164,11.927904633410066
Total CPU Power :,24.729530678767848,11.715142482018656
Total CPU Power :,25.48931095265975,11.8987682139865
Total CPU Power :,17.137617491088527,11.871669216795224
Total CPU Power :,14.913778577813243,11.927348613825991
Total CPU Power :,14.803096437070785,11.715394419716992
Total CPU Power :,14.899501360454002,11.518879802883072
Total CPU Power :,22.069074559678096,11.569969218387266
Total CPU Power :,24.518002685332387,11.542321737570525
Total CPU Power :,23.69452586399971,11.736900008731128
Total CPU Power :,24.619088742558088,11.85889290051295
Total CPU Power :,24.091469855619913,11.689167295907463
Total CPU Power :,15.33568984319186,11.578820235830126
Total CPU Power :,15.093874990967885,11.5534780650441
Total CPU Power :,14.419208712054576,11.763857133602455
Total CPU Power :,15.326562453400674,11.741124423612904
Total CPU Power :,24.043762282057475,11.757860170780999
Total CPU Power :,24.237921544164486,11.765710974955713
Total CPU Power :,24.043793549088615,11.206971391069915
Total CPU Power :,24.697162399054275,11.540021296115922
Total CPU Power :,21.79570862888313,11.394895180843102
Total CPU Power :,15.44098000610665,11.77384597370745
Total CPU Power :,14.6956639230006,11.711221801312385
Total CPU Power :,14.588527018205843,11.364600610514787
Total CPU Power :,18.56338306002179,11.732032622110216
Total CPU Power :,23.57419845027265,11.601356147481217
Total CPU Power :,23.29315759355376,11.418168003985034
Total CPU Power :,24.783077280230945,12.029201488611657
Total CPU Power :,24.892557488972333,11.244280612284786
Total CPU Power :,19.557469159025924,11.388573840859369
Total CPU Power :,14.980310255400246,11.61570574660273
Total CPU Power :,14.66892301597637,11.564304893484309
Total CPU Power :,14.611357740825463,11.042194024743566
Total CPU Power :,20.88573821984374,11.493191994985624
Total CPU Power :,24.07526147009382,11.211586294933085
Total CPU Power :,22.604089873370192,11.55583143576507
Total CPU Power :,24.644960270365555,11.218111232098854
Total CPU Power :,25.21544868299682,11.573669550936998
Total CPU Power :,17.089362913737634,11.561982663533367
Total CPU Power :,15.271567368233518,11.039816966164674
Total CPU Power :,14.659438670017105,11.376615244212497
Total CPU Power :,15.017063923063013,11.567338894704044
Total CPU Power :,22.107272868649723,11.264124758647275
Total CPU Power :,24.585855912490977,11.682153043012073
Total CPU Power :,23.606225902492067,11.194566647449015
Total CPU Power :,24.58562138069771,11.083839018490506
Total CPU Power :,23.791023113457666,11.069216932607109
Total CPU Power :,15.562338621713979,11.06516622930615
Total CPU Power :,15.050774118419076,11.575520089991763
Total CPU Power :,14.424546746547664,11.195040576956698
Total CPU Power :,15.196395173623552,11.525098336088735
Total CPU Power :,23.86289662959143,11.541517676333637
Total CPU Power :,24.17102987253951,11.348573420876436
Total CPU Power :,23.966194032024294,11.720196129592953
Total CPU Power :,24.519935539825095,11.54354578548068
Total CPU Power :,22.079300926952396,11.425690721910165
Total CPU Power :,15.510583939026901,11.886938929516148
Total CPU Power :,14.821755828290408,11.441371748660165
Total CPU Power :,14.491787632009467,11.792519017921432
Total CPU Power :,18.37908863617441,11.423711314040643
Total CPU Power :,23.33984839834441,11.7676452082924
Total CPU Power :,23.408074086278045,11.190066123476099
Total CPU Power :,24.732371402221432,11.374080637246763
Total CPU Power :,24.599301392363447,11.047744189304925
Total CPU Power :,20.023305835806973,11.356710865385805
Total CPU Power :,14.957623932544799,11.371010703374944
Total CPU Power :,14.659624168146866,11.705164224246733
Total CPU Power :,14.515153832048872,11.220943776279574
Total CPU Power :,20.611174774500995,11.017442695846846
Total CPU Power :,23.672901214403865,11.546257720250416
Total CPU Power :,22.829916375861792,11.017558973222833
Total CPU Power :,24.42237279402888,11.046431552934223
Total CPU Power :,25.345015849979212,11.383985890665633
Total CPU Power :,17.635986134826872,11.555463964700197
Total CPU Power :,15.291227617857185,11.42757997043987
Total CPU Power :,14.656535230797953,11.55296982163558
Total CPU Power :,14.984931901785508,11.563177641622325
Total CPU Power :,21.614216776719804,10.43410973384372
