Total CPU Power,createAndDeleteComment_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.717304381915636,12.497832019472835
Total CPU Power :,23.88926440328354,11.328252304468421
Total CPU Power :,22.479807883083048,11.678241456764304
Total CPU Power :,24.188490225995622,11.862831970000826
Total CPU Power :,24.384421940859184,11.662288598212832
Total CPU Power :,21.826291618086266,11.664699018683072
Total CPU Power :,24.892731145399424,11.349284834220311
Total CPU Power :,24.19781256474747,11.84351779907992
Total CPU Power :,24.812360300162663,11.66567915611349
Total CPU Power :,24.81715566836623,11.885316769887348
Total CPU Power :,23.7624499951631,11.664664861230746
Total CPU Power :,24.52338800281534,11.828536807456446
Total CPU Power :,23.577790646140002,11.883179669508682
Total CPU Power :,24.242027521687476,11.482094348788038
Total CPU Power :,24.606821220310316,11.854473027053626
Total CPU Power :,24.61302860424334,11.852544404340533
Total CPU Power :,23.437970745084286,11.833370078556223
Total CPU Power :,24.9764374223235,11.654697617807305
Total CPU Power :,24.015952881161347,11.863420505560065
Total CPU Power :,24.761934199093723,11.85378141460631
Total CPU Power :,24.650430696837365,11.8247969952871
Total CPU Power :,23.42642403813626,11.870898005842605
Total CPU Power :,24.96304706339435,11.667127888206355
Total CPU Power :,22.87436093860365,11.79670040144957
Total CPU Power :,24.751806467929057,12.001472204684102
Total CPU Power :,25.392799373214956,11.857851210452289
Total CPU Power :,23.163583936367953,11.76559902497941
Total CPU Power :,24.94867378562619,11.78694410220207
Total CPU Power :,24.23932426394763,11.603820516616729
Total CPU Power :,24.692158722174813,11.763649386570581
Total CPU Power :,25.525250757172454,11.81603154291508
Total CPU Power :,23.46947155999866,11.413024249082921
Total CPU Power :,24.283377918931993,11.27463919414675
Total CPU Power :,22.446308487929894,11.761623849683838
Total CPU Power :,24.629309940030545,11.763112249160342
Total CPU Power :,25.814349759990883,11.58939512463914
Total CPU Power :,23.635267675889715,11.766520314611094
Total CPU Power :,23.68596289114978,11.59502380026105
Total CPU Power :,24.007150030969203,11.580541525152514
Total CPU Power :,24.60217351180368,11.451112981822813
Total CPU Power :,25.269441141563078,11.437129893441963
Total CPU Power :,24.34097384989987,11.584584112339224
Total CPU Power :,23.830027012979183,11.60629397274083
Total CPU Power :,23.502740690232965,11.752477700438396
Total CPU Power :,24.941501891195287,11.610760603411219
Total CPU Power :,25.900368375835473,11.763338941086882
Total CPU Power :,24.0775385243532,11.77205695506585
Total CPU Power :,23.746263133888572,11.752759150260697
Total CPU Power :,23.15608123785448,11.761600597872429
Total CPU Power :,24.759775787818626,11.58111849445735
Total CPU Power :,24.875084200348315,11.772755600448733
Total CPU Power :,22.46476133652808,11.771197186054119
Total CPU Power :,26.407850951350742,11.953853918951442
