Total CPU Power,deleteComment.gsheet,Sem rodar nada
Total CPU Power :,21.222069923046902,12.8136304109564
Total CPU Power :,24.062774039953645,11.94672286166562
Total CPU Power :,22.66575475058254,12.029793549455363
Total CPU Power :,23.76303858197187,11.975271853365406
Total CPU Power :,25.56756030350045,11.947171474906241
Total CPU Power :,24.798226110403473,11.97150116697242
Total CPU Power :,24.893938993155743,11.988550652747637
Total CPU Power :,23.961226484550405,11.956004190912514
Total CPU Power :,24.760830796828117,11.972128399655341
Total CPU Power :,25.21163040658568,12.013889357008987
Total CPU Power :,24.291275855809058,11.474506572093205
Total CPU Power :,23.764878489356203,12.049134612933399
Total CPU Power :,24.88098122085106,12.036606816360319
Total CPU Power :,24.737538795335958,11.618345897750705
Total CPU Power :,25.8816014508511,11.801019597411669
Total CPU Power :,24.64865909115818,11.979946274533633
Total CPU Power :,23.112101750561425,11.88172585945929
Total CPU Power :,24.756048559860172,11.994152789722445
Total CPU Power :,25.725890660240978,11.940282626211442
Total CPU Power :,24.551199978721545,11.846649054455662
Total CPU Power :,24.568320876787507,11.964698095041998
Total CPU Power :,24.0670592827167,11.929699829771629
Total CPU Power :,24.79037312916606,11.80612835697085
Total CPU Power :,25.598530483075763,11.487903224954826
Total CPU Power :,23.675127420223507,11.848672820039146
Total CPU Power :,23.31459304157222,11.822298320550189
Total CPU Power :,24.982592546416747,11.872037667226126
Total CPU Power :,25.522885026993517,11.95349962893501
Total CPU Power :,24.59519783516687,11.658454079627926
Total CPU Power :,24.68747682900856,11.68480096014068
Total CPU Power :,23.763416307653515,11.727107695502133
Total CPU Power :,24.608180781838882,11.857092503140109
Total CPU Power :,25.255480893844933,11.964188447599719
Total CPU Power :,23.388111515294877,11.83669740706061
Total CPU Power :,23.940866614554068,11.661830973071432
Total CPU Power :,24.447498674397004,11.325626426761586
Total CPU Power :,24.676880683718423,11.82334635149627
Total CPU Power :,24.29826070421189,11.668153936516765
Total CPU Power :,21.633740482602576,11.825741422796192
Total CPU Power :,23.726970390723938,11.828335475971105
Total CPU Power :,25.016278272418035,11.328717552564296
Total CPU Power :,24.56248266251423,11.66243656260512
Total CPU Power :,25.37461212644476,11.801675408656296
Total CPU Power :,24.21608632220148,11.65577474646728
Total CPU Power :,22.636814229441104,11.8489908688917
Total CPU Power :,24.837096643824122,11.515381931755387
Total CPU Power :,25.268465486894065,11.6534312392614
Total CPU Power :,25.614812159623348,12.570754111555088
