Total CPU Power,favoriteAndUnfavoriteArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.462294640285187,12.443180438815856
Total CPU Power :,23.974304325960603,11.751508657185017
Total CPU Power :,22.582819136952974,11.828978274097722
Total CPU Power :,23.24311399958675,11.400171290820753
Total CPU Power :,23.831963358607272,11.750135335069393
Total CPU Power :,26.456395699443306,11.605472710103932
Total CPU Power :,24.135903194983037,11.784400361573075
Total CPU Power :,23.684225458179196,11.747045035342984
Total CPU Power :,24.574322659591395,11.782983709566237
Total CPU Power :,22.846180090030526,11.740678163675168
Total CPU Power :,26.95352597989664,11.73592329125928
Total CPU Power :,25.09821911456138,11.791458974164119
Total CPU Power :,23.965508979637086,11.773961804087334
Total CPU Power :,24.51380631066807,11.749647747637141
Total CPU Power :,23.4362684114192,11.579374963380028
Total CPU Power :,26.86587774124559,11.750056845615507
Total CPU Power :,24.7678776713841,11.755218618692558
Total CPU Power :,24.009161195029023,11.607086115233496
Total CPU Power :,24.58675572624326,11.807633263209977
Total CPU Power :,23.416141139289323,11.741355392602989
Total CPU Power :,25.201296398046914,11.750970799781275
Total CPU Power :,24.283789858828406,11.770179308585849
Total CPU Power :,24.2688309088342,11.787575239435899
Total CPU Power :,24.43091374841167,11.689266062463384
Total CPU Power :,25.59951692693167,11.693357052857529
Total CPU Power :,23.838652183341587,11.52810913639196
Total CPU Power :,23.95655984052162,11.533466988650318
Total CPU Power :,24.99947929515299,11.702538943142027
Total CPU Power :,25.194284503772103,11.68520967453942
Total CPU Power :,25.893997512817105,11.511307580423567
Total CPU Power :,23.874801247093732,11.513588619656245
Total CPU Power :,22.117593238535115,11.690412808851171
Total CPU Power :,24.57935921030573,11.573914414956304
Total CPU Power :,25.044716206263086,11.706105650242392
Total CPU Power :,27.138494965226784,11.516153096199632
Total CPU Power :,24.725756733913045,11.5049805053108
Total CPU Power :,23.664875435026243,11.524052282609363
Total CPU Power :,24.518956968054557,11.503081987960707
Total CPU Power :,24.078363712032907,11.503332672428003
Total CPU Power :,25.688668915295846,11.168315011670032
Total CPU Power :,24.166719386547072,11.684355256113813
Total CPU Power :,23.12690298639782,11.670100434963635
Total CPU Power :,24.486767879058103,11.694270006060158
Total CPU Power :,26.133687709979487,11.503983495750802
Total CPU Power :,23.74472060991966,11.500854011714527
Total CPU Power :,23.75895469861383,11.66944198993507
Total CPU Power :,24.492557823239004,11.68048049710511
Total CPU Power :,25.341068362154473,11.693736230816251
Total CPU Power :,25.05768291338408,11.698592582323135
