Total CPU Power,loginAndCreateArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,22.44232886345243,12.510436161033807
Total CPU Power :,24.59806440360779,11.753590249319313
Total CPU Power :,22.886626336380374,11.953695942358292
Total CPU Power :,23.231730545117944,11.939750613268401
Total CPU Power :,25.06742996299345,11.586222764048216
Total CPU Power :,18.727776846229805,11.901249354345671
Total CPU Power :,15.058965316264356,11.924995698504713
Total CPU Power :,14.843022509154073,11.595439800121696
Total CPU Power :,15.674828532903321,11.90222207658117
Total CPU Power :,16.239149529703543,11.9300925605641
Total CPU Power :,23.709560028642585,11.905666148782146
Total CPU Power :,24.393282656972186,11.95128306811131
Total CPU Power :,24.438152823117765,11.948694873591146
Total CPU Power :,24.53788378661667,11.935986232883797
Total CPU Power :,21.285249570696077,11.951903818226944
Total CPU Power :,16.222897782656233,11.994356700124229
Total CPU Power :,14.741705588464857,11.937876889120432
Total CPU Power :,14.594062960000215,11.978622523595035
Total CPU Power :,15.961377739838005,11.415416526345146
Total CPU Power :,21.190321043187048,11.55629951456869
Total CPU Power :,24.614726542513488,11.891991769522742
Total CPU Power :,23.951134379503774,11.920305950142609
Total CPU Power :,24.47909971906036,11.547119562700223
Total CPU Power :,22.27246699941382,11.626411086679179
Total CPU Power :,17.58693004613246,11.782306697921367
Total CPU Power :,15.08065698081429,11.7811459726047
Total CPU Power :,14.901293001157661,11.832136542238434
Total CPU Power :,15.40410967502195,11.348635585552854
Total CPU Power :,20.159583193049617,11.796031684309837
Total CPU Power :,23.829109143093888,11.435930577654126
Total CPU Power :,23.11344748565372,11.610883804920775
Total CPU Power :,24.793941944411102,11.78056182131651
Total CPU Power :,25.0788187360875,11.47557360274776
Total CPU Power :,18.181941788539195,11.618804189306141
Total CPU Power :,15.119973661599936,11.585685296335733
Total CPU Power :,14.926071000284546,11.772159427984374
Total CPU Power :,15.215114079988107,11.420221772494973
Total CPU Power :,17.008403192205016,11.812044620066814
Total CPU Power :,23.952430902835264,11.43668619930238
Total CPU Power :,23.701631709492947,11.78528866031275
Total CPU Power :,24.675795247298,11.610208745228032
Total CPU Power :,24.891574379260113,11.472937207779461
Total CPU Power :,20.687264212950602,11.768116852519764
Total CPU Power :,15.279501019347466,11.607349698403315
Total CPU Power :,14.735513022884119,11.76740527944519
Total CPU Power :,14.493003527958216,11.818617974748175
Total CPU Power :,16.320908008862432,11.605122126739976
Total CPU Power :,23.089362143375535,11.847387251581779
Total CPU Power :,24.374409270301605,11.776855548536185
Total CPU Power :,24.19447327364125,11.592597848225
Total CPU Power :,24.579045105736498,11.621535269560274
Total CPU Power :,22.535903159613188,11.09747657338967
Total CPU Power :,15.549916136148607,11.637576897340436
Total CPU Power :,14.870539452348176,11.463633646536568
Total CPU Power :,14.493192621003596,11.421940561688103
Total CPU Power :,15.756945165224142,12.115436618153666
Total CPU Power :,21.52415448325119,11.478324740408832
Total CPU Power :,24.683720030029516,11.819295810991232
Total CPU Power :,24.031282348509926,11.806842412771417
Total CPU Power :,24.467871142387057,11.62485524839106
Total CPU Power :,22.07355436692822,11.473508005761113
Total CPU Power :,17.502765418645442,11.770259019549934
Total CPU Power :,14.993210855656322,11.761479435432998
Total CPU Power :,14.646514044469386,11.784236892563472
Total CPU Power :,15.501075436052174,11.449684016041976
Total CPU Power :,19.449925594838714,11.605022361050139
Total CPU Power :,23.747103202022913,11.782447906622798
Total CPU Power :,23.34585718325365,11.638119416889301
Total CPU Power :,24.476993874505055,11.77077323748695
Total CPU Power :,25.103908492646976,11.431613659519977
Total CPU Power :,18.277434987676354,11.277458622801744
Total CPU Power :,15.434812180354434,11.278627419346265
Total CPU Power :,14.709649520192725,11.608937623366426
Total CPU Power :,14.897236437373511,11.620735269425005
Total CPU Power :,16.29615096843375,11.755381117889353
Total CPU Power :,24.080524776430092,11.427211977553446
Total CPU Power :,23.803725171407155,11.770786982740441
Total CPU Power :,24.732793967633757,11.665363549739144
Total CPU Power :,24.34074165701063,11.405268994969394
Total CPU Power :,21.921616678607762,11.242908925640895
Total CPU Power :,15.257016058222277,11.599273943443691
Total CPU Power :,14.712846469097089,11.584963439568456
Total CPU Power :,14.360205019437046,11.799503739533794
Total CPU Power :,16.08666655006267,11.398172001872693
Total CPU Power :,22.275177977316545,11.758105526665302
Total CPU Power :,24.650645390684147,11.578506593565258
Total CPU Power :,23.974054549362414,11.775006802843038
Total CPU Power :,24.57442808996124,11.804774613519681
Total CPU Power :,22.050715303439283,11.584513452212748
Total CPU Power :,16.674233969684202,11.416903858868798
Total CPU Power :,14.79426132256428,11.595690481808042
Total CPU Power :,14.596928112468664,11.574189292344222
Total CPU Power :,15.710100643527847,11.589209507370335
Total CPU Power :,20.3345994860775,11.775715785180159
