Total CPU Power,loginAndDeleteArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.733695024104538,12.652886119640032
Total CPU Power :,24.205566786700953,11.593118263922094
Total CPU Power :,23.261675262225275,11.71350094319631
Total CPU Power :,23.463424533579268,11.762961262886224
Total CPU Power :,24.76176429775199,11.545079168250362
Total CPU Power :,20.519465227904725,11.397176206864021
Total CPU Power :,24.884124956077805,11.76727980573655
Total CPU Power :,24.070165343851937,11.54684499958621
Total CPU Power :,24.885915831321796,11.384235912924805
Total CPU Power :,24.391767737287083,11.959272825554558
Total CPU Power :,21.76278655953387,11.538694607463588
Total CPU Power :,24.481216571026,11.534866699525224
Total CPU Power :,24.70279335754382,11.904928463072308
Total CPU Power :,24.08360380123135,11.750471916386948
Total CPU Power :,24.73212171961534,11.918048977302956
Total CPU Power :,22.10259995659661,11.96611085706208
Total CPU Power :,24.35904585040434,11.529393849066015
Total CPU Power :,24.784691251607242,11.876454858046744
Total CPU Power :,23.7395079575171,11.925616863199517
Total CPU Power :,24.67109744094426,11.859742303031927
Total CPU Power :,23.3165267502561,11.893051515245931
Total CPU Power :,23.643391039098653,11.735500393451836
Total CPU Power :,23.809876450661722,11.307400718041919
Total CPU Power :,23.77337788245751,11.772992552487224
Total CPU Power :,24.683196905552474,11.255688278416386
Total CPU Power :,25.277774980022038,11.453404040213776
Total CPU Power :,20.70965316745255,11.429212244394671
Total CPU Power :,24.59492398518548,11.476137505976906
Total CPU Power :,24.638905493451905,11.787617563068773
Total CPU Power :,25.027195001532313,11.459710153536264
Total CPU Power :,24.51158019683238,11.463813015023211
Total CPU Power :,22.033283193944772,11.425505877059932
Total CPU Power :,24.088343320200444,11.50594484180381
Total CPU Power :,24.798438597980883,11.269134091796817
Total CPU Power :,24.084611619775856,11.427118901412689
Total CPU Power :,24.73307659571218,11.470913374562848
Total CPU Power :,21.91179245295017,11.595519484161507
Total CPU Power :,24.526390943677047,11.260435204532708
Total CPU Power :,24.8092135168225,11.606685283898713
Total CPU Power :,23.793469349396723,11.459960125400908
Total CPU Power :,24.82789277362656,11.256327815990856
Total CPU Power :,23.009343666790812,11.598106114375057
Total CPU Power :,23.42495400076462,11.424539117731928
Total CPU Power :,23.906861522619984,11.09967390327682
Total CPU Power :,23.469172182015733,11.299226090173176
Total CPU Power :,24.712274470549097,11.340609414334898
Total CPU Power :,24.995669777415696,11.2731981438941
Total CPU Power :,21.057930108106714,11.07404903173678
Total CPU Power :,24.070673107225357,11.270634809687886
Total CPU Power :,23.91646146294908,11.087415026916458
Total CPU Power :,24.94690503988687,11.433142051096171
Total CPU Power :,25.165707578591277,11.602646984855767
Total CPU Power :,20.542917649350954,11.07860745936192
Total CPU Power :,27.778190093824843,11.915804758484823
