Total CPU Power,loginAndLogout_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.57326836553542,12.30140042593553
Total CPU Power :,23.521914961106066,11.411879314424414
Total CPU Power :,21.20718328896795,11.577702391049433
Total CPU Power :,23.79488053117405,11.584540924424166
Total CPU Power :,25.459233993844276,11.449923754531058
Total CPU Power :,18.51063856482997,11.750712158887904
Total CPU Power :,23.497038939556013,11.587373864162675
Total CPU Power :,23.160832589183226,11.401572825706994
Total CPU Power :,24.643212599788725,11.59863084997084
Total CPU Power :,25.249289190895123,11.280603205530056
Total CPU Power :,19.31423759764611,11.578321471845983
Total CPU Power :,23.809298620277495,11.767282019614695
Total CPU Power :,23.020471028144783,11.433965494208454
Total CPU Power :,24.807743739881616,11.590093091807153
Total CPU Power :,24.936173689689934,11.420477431545175
Total CPU Power :,20.1273894307806,11.75349081270962
Total CPU Power :,21.678360190051077,11.592687374555544
Total CPU Power :,23.83545389172523,11.754646009659663
Total CPU Power :,24.57160192568932,11.788521219399891
Total CPU Power :,24.660655522405968,12.258805965380951
Total CPU Power :,21.217659225937396,11.74833960937285
Total CPU Power :,21.786590208493838,11.782358757793357
Total CPU Power :,23.923771151074675,11.549638055925378
Total CPU Power :,24.037681707755503,11.345362616182436
Total CPU Power :,24.49295290280013,11.55643449083061
Total CPU Power :,21.613578214354117,11.690697110975261
Total CPU Power :,21.567355738932203,11.514977506407375
Total CPU Power :,24.237760379699758,11.712679528566397
Total CPU Power :,23.988434992265425,11.72022593898551
Total CPU Power :,24.771345722686615,11.697403569383532
Total CPU Power :,21.43108513711526,11.688818795774596
Total CPU Power :,21.604083313496332,11.345431593900983
Total CPU Power :,24.218934915919775,11.060275210202303
Total CPU Power :,23.618005741337686,11.515918694909395
Total CPU Power :,24.701721161398545,11.532102188912349
Total CPU Power :,21.21015953196787,11.574436483593308
Total CPU Power :,21.87943516998518,11.170754740557648
Total CPU Power :,24.193957614685633,11.171817547484885
Total CPU Power :,23.12592865486217,11.703229286427241
Total CPU Power :,24.55790941886428,11.547598788710884
Total CPU Power :,21.409371077959406,11.53101158367729
Total CPU Power :,21.582395609784456,11.523550171021395
Total CPU Power :,24.650939459925077,11.687187718709458
Total CPU Power :,23.568914587650212,11.354541222475989
Total CPU Power :,24.682706334146232,11.347864049506143
Total CPU Power :,21.1759820346376,11.537280970487716
Total CPU Power :,21.84471654409549,11.176217174548652
Total CPU Power :,24.579621284912196,11.348446419783832
Total CPU Power :,23.681772456103154,11.716341250061108
Total CPU Power :,24.631647584811247,11.348545541002597
Total CPU Power :,21.13785178406355,11.513588740309785
Total CPU Power :,21.359616481982833,11.67650373370508
