Total CPU Power,loginCreateComment_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.44540001349629,12.647568852713993
Total CPU Power :,25.80966050628883,11.990672245209584
Total CPU Power :,23.594910654972885,11.646244592436041
Total CPU Power :,23.456795380925726,11.78063036641514
Total CPU Power :,25.453483997929236,11.926793302003098
Total CPU Power :,20.637610338902313,11.826279130459312
Total CPU Power :,23.699376882160013,11.961536624563067
Total CPU Power :,24.767355365139174,11.95457426277081
Total CPU Power :,24.04679516482277,11.95309422296631
Total CPU Power :,24.722480175307215,11.971494954861498
Total CPU Power :,24.66770583250991,11.964388986433292
Total CPU Power :,21.44560894201914,11.950988208105008
Total CPU Power :,23.876397399518027,11.81526658714586
Total CPU Power :,25.082967237451264,11.929278714366411
Total CPU Power :,24.438786508407134,11.911446966134072
Total CPU Power :,24.983257478411357,11.825692498731494
Total CPU Power :,22.23953897569059,11.942377720963686
Total CPU Power :,22.46805644405476,11.969864717422327
Total CPU Power :,24.521362402825925,11.814793105673534
Total CPU Power :,24.746339308201307,11.749421350894469
Total CPU Power :,24.520506090410926,11.910405413000564
Total CPU Power :,25.185225673221243,11.825253064389827
Total CPU Power :,22.277059891443667,11.926534214864896
Total CPU Power :,22.01640652158784,11.791400011108074
Total CPU Power :,25.41932367937301,11.809945363017285
Total CPU Power :,24.670967045435987,11.85983587068216
Total CPU Power :,25.58175096241895,11.611508779400147
Total CPU Power :,24.867483928857595,11.887421409383938
Total CPU Power :,22.384613531707753,11.836036536745771
Total CPU Power :,23.87290695245595,11.825004646308564
Total CPU Power :,23.974053344869922,11.791746298461947
Total CPU Power :,24.03018718450078,11.310756426170197
Total CPU Power :,25.282780647807783,11.86701704365069
Total CPU Power :,25.80780762692014,11.641440012631955
Total CPU Power :,21.032596878811308,11.486052542620277
Total CPU Power :,24.642877987470328,11.626610172780268
Total CPU Power :,24.04912577960273,11.803846463013373
Total CPU Power :,23.789385841361785,11.830216101282025
Total CPU Power :,25.056605260729565,11.821253595550697
Total CPU Power :,25.505934141249853,11.780421498569801
Total CPU Power :,21.2434264794171,11.654250676154827
Total CPU Power :,24.2946158287551,11.853453008144427
Total CPU Power :,24.7361350320251,11.614119189241604
Total CPU Power :,23.628292891768815,11.431223562520639
Total CPU Power :,24.85308578569352,11.824087139378106
Total CPU Power :,25.044477212269552,11.788961270299708
Total CPU Power :,21.75285927245326,11.78730628058337
Total CPU Power :,24.33170079758873,11.81930769398425
Total CPU Power :,24.937767676031754,11.615129676571089
Total CPU Power :,23.997115227187273,11.781620234302062
Total CPU Power :,25.02573744698694,11.614389446898675
Total CPU Power :,24.27682655894488,11.637010972586053
Total CPU Power :,22.014090270216983,11.484206590139403
Total CPU Power :,24.50971253895948,11.614769943654954
Total CPU Power :,25.18021699695143,11.814281149910263
Total CPU Power :,24.453210759694137,11.885897427197373
Total CPU Power :,25.175679516670368,11.343342010361797
Total CPU Power :,22.86871911851769,11.699249169191962
Total CPU Power :,22.441464519969426,11.562795384819418
Total CPU Power :,25.61110977389933,11.552971759268948
