Total CPU Power,loginInvalidEmail_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.496820415016582,12.434757278956718
Total CPU Power :,23.785833689344752,11.792225438103483
Total CPU Power :,21.20244845929032,11.772159898427942
Total CPU Power :,23.539816050843026,11.804702691568549
Total CPU Power :,25.320680209846607,11.6113750337304
Total CPU Power :,19.753673871034636,11.766219108468578
Total CPU Power :,24.502851689189722,11.781105497978226
Total CPU Power :,23.442780091313868,11.750674669976641
Total CPU Power :,25.78192287302636,11.803395836730571
Total CPU Power :,23.06488674529455,11.77335592359076
Total CPU Power :,21.242400072871593,11.583022108083025
Total CPU Power :,23.799229763800128,11.75115473059484
Total CPU Power :,24.17162112862294,11.794099852154249
Total CPU Power :,24.676572991237776,11.749676316415433
Total CPU Power :,21.279228875133057,11.788069153480741
Total CPU Power :,24.117416066988003,11.601635777858483
Total CPU Power :,22.882767529952044,11.988915818760567
Total CPU Power :,24.64504215298774,11.980971109204315
Total CPU Power :,25.27369704209881,11.601651208746647
Total CPU Power :,20.057853357073512,11.789322182536608
Total CPU Power :,24.862438632539973,11.578675690987902
Total CPU Power :,23.273014561875296,11.789830836237524
Total CPU Power :,24.55995665569069,11.763459316556158
Total CPU Power :,21.175493930423162,11.704782810547307
Total CPU Power :,23.43061507711845,11.556614138164402
Total CPU Power :,23.005713650481873,11.693937479885877
Total CPU Power :,24.61887523148263,11.699930975669657
Total CPU Power :,24.966013888808433,11.549352867397817
Total CPU Power :,20.52120432643547,11.545772340178045
Total CPU Power :,24.448417139361464,11.540824431668199
Total CPU Power :,22.598227425554732,11.547832132095317
Total CPU Power :,24.4016696111802,11.532580879139092
Total CPU Power :,23.023314918895622,11.39907468580268
Total CPU Power :,21.14548860020343,11.685816728474661
Total CPU Power :,23.412251269797295,11.54306239922887
Total CPU Power :,23.761613167031648,11.52789867587688
Total CPU Power :,24.426543441260936,11.690390075274262
Total CPU Power :,21.314700832833143,11.694147820282954
Total CPU Power :,23.444852127176933,11.69248919472133
Total CPU Power :,22.66776369289477,11.516948425883625
Total CPU Power :,24.48963243972885,11.707541893626756
Total CPU Power :,25.241367084202082,11.346139807191529
Total CPU Power :,19.987647027729928,11.716660298142521
Total CPU Power :,24.55125406143328,11.516222337632957
Total CPU Power :,22.819214192823512,11.219875982865855
Total CPU Power :,24.397363641676403,11.696609416332373
Total CPU Power :,21.130536811214387,11.689080416123819
Total CPU Power :,22.04334115318502,11.912253621215456
