Total CPU Power,codeCarbon_time_log_20250209_223546.txt,Sem rodar nada
Total CPU Power :,19.60625545055674,12.532603164377685
Total CPU Power :,24.629796749811554,11.313869503948148
Total CPU Power :,20.451484088309268,11.654907816841922
Total CPU Power :,24.013974333568118,11.849246698244032
Total CPU Power :,25.728763713876205,11.649827711145775
Total CPU Power :,16.449495487451234,11.812677781544135
Total CPU Power :,22.95645872295737,12.409799701114782
Total CPU Power :,23.430090047820197,11.834614929475954
Total CPU Power :,24.14194025977904,11.859786556449038
Total CPU Power :,24.85657025427541,12.374640070056023
Total CPU Power :,19.68312714039938,11.680922178505886
Total CPU Power :,15.348647294433697,11.707555946227249
Total CPU Power :,12.508550887039277,11.87891702240238
Total CPU Power :,21.284673242307214,12.118021577498745
Total CPU Power :,23.872056767947225,11.772749999281771
Total CPU Power :,24.973475199907234,11.832961094357593
Total CPU Power :,24.604616398409163,11.866325540685308
Total CPU Power :,17.82009186387489,11.808831542203354
Total CPU Power :,22.539473340709492,11.850258671705419
Total CPU Power :,24.617686325344987,11.908976685993077
Total CPU Power :,24.510504509636103,12.0891652918748
Total CPU Power :,25.269407746703926,11.81000034466422
Total CPU Power :,19.14916768540278,11.643239700401747
Total CPU Power :,20.07864943289939,11.754636943789732
Total CPU Power :,25.118247391243287,11.597758644349781
Total CPU Power :,23.94106686006625,11.434816470691716
Total CPU Power :,24.728599461450436,11.611868829536306
Total CPU Power :,21.367862860444067,11.787900773264257
Total CPU Power :,20.528191579308285,11.750813809915076
Total CPU Power :,24.749061224728912,11.23725859104721
Total CPU Power :,23.724603052833324,11.42585525695599
Total CPU Power :,24.85408606808119,11.579401957602975
Total CPU Power :,21.852678187932312,11.611589198602108
Total CPU Power :,18.9268136084564,11.573424567128475
Total CPU Power :,24.915116840354603,11.403762023795302
Total CPU Power :,23.675244069581776,11.590001785648619
Total CPU Power :,24.85703545711285,11.766836105639241
Total CPU Power :,23.00078050347331,11.745350796231302
Total CPU Power :,18.401115125713414,11.576444285372354
Total CPU Power :,24.636988421335005,11.587864060821525
Total CPU Power :,23.2847136576857,11.769248695681682
Total CPU Power :,24.83861150490797,11.77217832203649
Total CPU Power :,23.19836934484228,11.407553298668029
Total CPU Power :,18.014201755315568,11.745795112273013
Total CPU Power :,24.3080970318659,11.2289628050248
Total CPU Power :,23.127731399086368,11.73735469657364
Total CPU Power :,24.883869549458858,11.745902035548964
Total CPU Power :,25.109519141469985,11.597347416803208
Total CPU Power :,17.314866812688937,11.754684502046693
Total CPU Power :,23.982190959206502,11.572117818321898
Total CPU Power :,22.904963018702272,11.600245476520746
Total CPU Power :,24.667324834231458,11.764316785773138
Total CPU Power :,25.4107322927217,11.414404854256876
Total CPU Power :,17.34419059720352,11.994093148754692
Total CPU Power :,23.773338308209286,11.954747091228045
