Total CPU Power,singUpLoginAndLogout_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.367982930872838,12.63444048210015
Total CPU Power :,24.31537531217072,11.541989524834744
Total CPU Power :,23.47488297694379,11.887244065728684
Total CPU Power :,23.467740022836793,11.909514172649041
Total CPU Power :,23.73557556478741,11.753446629777548
Total CPU Power :,16.729781774790116,11.356365377561172
Total CPU Power :,19.224401039287066,11.549075311877523
Total CPU Power :,20.26584853302074,11.579959946635416
Total CPU Power :,24.946636950637817,11.370912655656884
Total CPU Power :,24.253025583933187,11.91322161567044
Total CPU Power :,25.05972418931524,11.7600245007627
Total CPU Power :,22.489637019642103,11.708662735443925
Total CPU Power :,17.762226575644235,11.547532700561655
Total CPU Power :,17.781224780392055,11.791026658926269
Total CPU Power :,23.88423667762445,11.421978022640147
Total CPU Power :,23.959338053517644,11.924145285315348
Total CPU Power :,25.008351339625715,11.972468813520097
Total CPU Power :,25.67292643862003,11.383383325031492
Total CPU Power :,19.001014126828583,11.710111945385863
Total CPU Power :,18.00314916605592,11.774767724252651
Total CPU Power :,21.273871464298814,11.756473777330553
Total CPU Power :,24.701929859605197,11.354332346530857
Total CPU Power :,24.557185833554698,11.54195445769649
Total CPU Power :,25.151686110010285,11.251367158997459
Total CPU Power :,21.018254607549665,11.596740758136107
Total CPU Power :,18.149760391531967,11.426948218456515
Total CPU Power :,20.20102991317611,11.586564326081742
Total CPU Power :,25.113935590944745,11.816784336693901
Total CPU Power :,24.03923930378358,11.249027376259852
Total CPU Power :,24.969261722005307,15.403749395734282
Total CPU Power :,23.20528150323086,16.23596394116047
Total CPU Power :,17.875313092934363,15.365353299085761
Total CPU Power :,18.65552935631119,17.39771766024804
Total CPU Power :,24.225021582012513,21.85323499150219
Total CPU Power :,23.76622347833685,22.712618864046615
Total CPU Power :,24.93952784824071,23.198477402184864
Total CPU Power :,25.75304600449267,22.294238119469885
Total CPU Power :,18.731297490420243,20.338402515647594
Total CPU Power :,17.37511659183533,21.62531679140298
Total CPU Power :,23.06611927626682,22.13850642834239
Total CPU Power :,24.15933481932657,18.985536368384814
Total CPU Power :,25.137678362426104,11.293454568698722
Total CPU Power :,24.879596191993162,11.759121086503106
Total CPU Power :,18.480962566301173,11.799525976436335
Total CPU Power :,17.565618758397015,10.956700479731223
Total CPU Power :,17.743132386752727,11.483349196636293
Total CPU Power :,23.85043876383419,11.448943454759528
Total CPU Power :,23.707101772746245,11.802226714609812
Total CPU Power :,25.184275246209207,11.601070951692355
Total CPU Power :,25.90374799766854,11.628208162056842
Total CPU Power :,19.11041863900961,11.53312900069781
Total CPU Power :,17.43398877889123,11.074626527872347
Total CPU Power :,21.762919568342642,10.900463951107945
Total CPU Power :,24.67724971342767,11.7608998688232
Total CPU Power :,24.535798580945155,11.270311560712027
Total CPU Power :,24.987067262410903,12.053751702237232
Total CPU Power :,20.580851399261896,11.587579264958535
Total CPU Power :,18.72248274290311,11.068440230830646
Total CPU Power :,19.971838730707756,11.397093881825523
Total CPU Power :,25.086662832658632,11.46949658376321
Total CPU Power :,24.06624934364344,11.404727713745855
Total CPU Power :,24.91240831488288,11.236580990712499
Total CPU Power :,23.39861288174135,11.56584686189412
Total CPU Power :,17.798415397398255,11.40826610803738
Total CPU Power :,18.240596235557092,11.46312705987473
